Date,Description,Amount
01/08/2026,Acme Ltd PAYE salary,4250.00
01/08/2026,Auckland City Council rates,-312.40
02/08/2026,Countdown Ponsonby,-128.64
02/08/2026,Z Energy Ponsonby,-89.50
03/08/2026,Netflix subscription,-25.99
03/08/2026,Spark Mobile,-59.00
04/08/2026,Little Bird Unbound cafe,-18.40
04/08/2026,AT Hop top-up,-20.00
05/08/2026,New World Victoria Park,-94.22
05/08/2026,Mercury Energy,-186.35
06/08/2026,Uber Eats Bird on a Wire,-32.80
07/08/2026,Anytime Fitness Ponsonby,-24.99
08/08/2026,Pak'nSave Lincoln Rd,-156.18
08/08/2026,Transfer to Savings,-400.00
09/08/2026,BP Connect Grey Lynn,-72.40
10/08/2026,Unichem Ponsonby,-28.90
10/08/2026,Spotify Premium,-12.99
11/08/2026,AA Insurance car,-94.20
12/08/2026,Countdown Grey Lynn,-67.35
12/08/2026,Watercare,-78.12
13/08/2026,Auckland Transport parking,-6.00
14/08/2026,Coco's Cantina dinner,-86.00
15/08/2026,Acme Ltd PAYE salary,4250.00
15/08/2026,Rent Ponsonby apartment,-2400.00
16/08/2026,New World Ponsonby,-81.44
16/08/2026,Event Cinemas Newmarket,-36.00
17/08/2026,Z Energy Grey Lynn,-84.10
17/08/2026,Transfer Everyday to Credit Card,-250.00
18/08/2026,Countdown Ponsonby,-103.77
18/08/2026,Southern Cross health,-142.80
19/08/2026,Allpress Espresso Ponsonby,-7.50
19/08/2026,Countdown refund plastic bags,0.20
20/08/2026,Pak'nSave Mt Albert,-119.56
20/08/2026,Trade Me shipping,-14.90
